"codex","place","gender","hill_size_x","team","season","hill_size_y","k.point","meter.value","gate.factor","wind.factor","type","date","id","training","country"
3784,"Klingenthal","Men",140,0,2014,140,125,1.8,7.56,10.8,2,"2013-10-02","2014JP3784RLQ",0,"GER"
3783,"Einsiedeln","Men",117,0,2014,117,105,1.8,6.32,7.29,2,"2013-08-16","2014JP3783RLT",1,"SUI"
3783,"Einsiedeln","Men",117,0,2014,117,105,1.8,6.32,7.29,2,"2013-08-16","2014JP3783RLQ",0,"SUI"
3782,"Hinterzarten","Men",108,0,2014,108,95,2,6.48,7.2,2,"2013-07-26","2014JP3782RLT",1,"GER"
3782,"Hinterzarten","Men",108,0,2014,108,95,2,6.48,7.2,2,"2013-07-26","2014JP3782RLQ",0,"GER"
3781,"Klingenthal","Men",140,0,2014,140,125,1.8,7.56,10.8,2,"2013-10-03","2014JP3781RTRIA",1,"GER"
3781,"Klingenthal","Men",140,0,2014,140,125,1.8,7.56,10.8,2,"2013-10-03","2014JP3781RL",0,"GER"
3766,"Almaty","Men",140,0,2014,140,125,1.8,7.56,9.36,2,"2013-09-22","2014JP3766RL",0,"KAZ"
3765,"Almaty","Men",140,0,2014,140,125,1.8,7.56,9.36,2,"2013-09-21","2014JP3765RTRIA",1,"KAZ"
3765,"Almaty","Men",140,0,2014,140,125,1.8,7.56,9.36,2,"2013-09-21","2014JP3765RL",0,"KAZ"
3764,"Almaty","Women",106,0,2014,106,95,2,6.36,7,2,"2013-09-22","2014JP3764RTRIA",1,"KAZ"
3764,"Almaty","Women",106,0,2014,106,95,2,6.36,7,2,"2013-09-22","2014JP3764RLT",1,"KAZ"
3764,"Almaty","Women",106,0,2014,106,95,2,6.36,7,2,"2013-09-22","2014JP3764RL",0,"KAZ"
3763,"Almaty","Women",106,0,2014,68,95,2,6.36,7,2,"2013-09-21","2014JP3763RTRIA",1,"KAZ"
3763,"Almaty","Women",106,0,2014,68,95,2,6.36,7,2,"2013-09-21","2014JP3763RLT",1,"KAZ"
3763,"Almaty","Women",106,0,2014,68,95,2,6.36,7,2,"2013-09-21","2014JP3763RL",0,"KAZ"
3756,"Nizhny Tagil","Men",134,0,2014,134,120,1.8,7.24,8.82,2,"2013-09-15","2014JP3756RLT",1,"RUS"
3756,"Nizhny Tagil","Men",134,0,2014,134,120,1.8,7.24,8.82,2,"2013-09-15","2014JP3756RL",0,"RUS"
3755,"Nizhny Tagil","Men",100,0,2014,106,90,2,6,6.4,2,"2013-09-14","2014JP3755RTRIA",1,"RUS"
3755,"Nizhny Tagil","Men",100,0,2014,106,90,2,6,6.4,2,"2013-09-14","2014JP3755RL",0,"RUS"
3754,"Nizhny Tagil","Women",100,0,2014,106,90,2,6,6.4,2,"2013-09-14","2014JP3754RTRIA",1,"RUS"
3754,"Nizhny Tagil","Women",100,0,2014,106,90,2,6,6.4,2,"2013-09-14","2014JP3754RL",0,"RUS"
3753,"Nizhny Tagil","Women",100,0,2014,106,90,2,6,6.4,2,"2013-09-13","2014JP3753RLT",1,"RUS"
3753,"Nizhny Tagil","Women",100,0,2014,106,90,2,6,6.4,2,"2013-09-13","2014JP3753RL",0,"RUS"
3742,"Hakuba","Men",131,0,2014,131,120,1.8,8.82,10.44,2,"2013-08-24","2014JP3742RTRIA",1,"JPN"
3742,"Hakuba","Men",131,0,2014,131,120,1.8,8.82,10.44,2,"2013-08-24","2014JP3742RL",0,"JPN"
3741,"Hakuba","Men",131,0,2014,131,120,1.8,8.82,10.44,2,"2013-08-23","2014JP3741RTRIA",1,"JPN"
3741,"Hakuba","Men",131,0,2014,131,120,1.8,8.82,10.44,2,"2013-08-23","2014JP3741RL",0,"JPN"
3736,"Einsiedeln","Men",117,0,2014,117,105,1.8,6.32,7.29,2,"2013-08-17","2014JP3736RTRIA",1,"SUI"
3736,"Einsiedeln","Men",117,0,2014,117,105,1.8,6.32,7.29,2,"2013-08-17","2014JP3736RLT",1,"SUI"
3736,"Einsiedeln","Men",117,0,2014,117,105,1.8,6.32,7.29,2,"2013-08-17","2014JP3736RL",0,"SUI"
3733,"Courchevel","Men",132,0,2014,132,120,1.8,8.82,12.6,2,"2013-08-15","2014JP3733RTRIA",1,"FRA"
3733,"Courchevel","Men",132,0,2014,132,120,1.8,8.82,12.6,2,"2013-08-15","2014JP3733RLT",1,"FRA"
3733,"Courchevel","Men",132,0,2014,132,120,1.8,8.82,12.6,2,"2013-08-15","2014JP3733RLQ",0,"FRA"
3733,"Courchevel","Men",132,0,2014,132,120,1.8,8.82,12.6,2,"2013-08-15","2014JP3733RL",0,"FRA"
3732,"Courchevel","Women",96,0,2014,96,90,2,7,8,2,"2013-08-15","2014JP3732RTRIA",1,"FRA"
3732,"Courchevel","Women",96,0,2014,96,90,2,7,8,2,"2013-08-15","2014JP3732RLT",1,"FRA"
3732,"Courchevel","Women",96,0,2014,96,90,2,7,8,2,"2013-08-15","2014JP3732RL",0,"FRA"
3731,"Courchevel","Mix",132,1,2014,132,120,1.8,8.82,12.6,2,"2013-08-14","2014JP3731RTRIA",1,"FRA"
3731,"Courchevel","Mix",132,1,2014,132,120,1.8,8.82,12.6,2,"2013-08-14","2014JP3731RLT",1,"FRA"
3731,"Courchevel","Mix",132,1,2014,132,120,1.8,8.82,12.6,2,"2013-08-14","2014JP3731RL",0,"FRA"
3722,"Wisla","Men",134,0,2014,134,120,1.8,7.24,8.82,2,"2013-08-01","2014JP3722RLT",1,"POL"
3722,"Wisla","Men",134,0,2014,134,120,1.8,7.24,8.82,2,"2013-08-01","2014JP3722RLQ",0,"POL"
3721,"Wisla","Men",134,0,2014,134,120,1.8,7.24,8.82,2,"2013-08-03","2014JP3721RTRIA",1,"POL"
3721,"Wisla","Men",134,0,2014,134,120,1.8,7.24,8.82,2,"2013-08-03","2014JP3721RL",0,"POL"
3720,"Wisla","Men",134,1,2014,134,120,1.8,7.24,8.82,2,"2013-08-02","2014JP3720RTRIA",1,"POL"
3720,"Wisla","Men",134,1,2014,134,120,1.8,7.24,8.82,2,"2013-08-02","2014JP3720RL",0,"POL"
3717,"Hinterzarten","Men",108,0,2014,108,95,2,6.48,7.2,2,"2013-07-28","2014JP3717RTRIA",1,"GER"
3717,"Hinterzarten","Men",108,0,2014,108,95,2,6.48,7.2,2,"2013-07-28","2014JP3717RL",0,"GER"
3715,"Hinterzarten","Mix",108,1,2014,108,95,2,6.48,7.2,2,"2013-07-27","2014JP3715RTRIA",1,"GER"
3715,"Hinterzarten","Mix",108,1,2014,108,95,2,6.48,7.2,2,"2013-07-27","2014JP3715RL",0,"GER"
3714,"Hinterzarten","Women",108,0,2014,108,95,2,6.48,7.2,2,"2013-07-26","2014JP3714RTRIA",1,"GER"
3714,"Hinterzarten","Women",108,0,2014,108,95,2,6.48,7.2,2,"2013-07-26","2014JP3714RLT",1,"GER"
3714,"Hinterzarten","Women",108,0,2014,108,95,2,6.48,7.2,2,"2013-07-26","2014JP3714RL",0,"GER"
3760,"Klingenthal","Men",140,0,2013,140,125,1.8,7.56,10.8,2,"2012-10-02","2013JP3760RLT",1,"GER"
3760,"Klingenthal","Men",140,0,2013,140,125,1.8,7.56,10.8,2,"2012-10-02","2013JP3760RLQ",0,"GER"
3759,"Klingenthal","Men",140,0,2013,140,125,1.8,7.56,10.8,2,"2012-10-03","2013JP3759RTRIA",1,"GER"
3759,"Klingenthal","Men",140,0,2013,140,125,1.8,7.56,10.8,2,"2012-10-03","2013JP3759RL",0,"GER"
3758,"Hinzenbach","Men",94,0,2013,94,85,2,4.8,5.8,2,"2012-09-29","2013JP3758RLT",1,"AUT"
3758,"Hinzenbach","Men",94,0,2013,94,85,2,4.8,5.8,2,"2012-09-29","2013JP3758RLQ",0,"AUT"
3757,"Hinzenbach","Men",94,0,2013,94,85,2,4.8,5.8,2,"2012-09-30","2013JP3757RTRIA",1,"AUT"
3757,"Hinzenbach","Men",94,0,2013,94,85,2,4.8,5.8,2,"2012-09-30","2013JP3757RL",0,"AUT"
3751,"Almaty","Men",140,0,2013,140,125,1.8,7.56,9.36,2,"2012-09-21","2013JP3751RLT",1,"KAZ"
3750,"Almaty","Men",140,0,2013,140,125,1.8,7.56,9.36,2,"2012-09-23","2013JP3750RL",0,"KAZ"
3749,"Almaty","Women",106,0,2013,106,95,2,6.36,7,2,"2012-09-23","2013JP3749RTRIA",1,"KAZ"
3749,"Almaty","Women",106,0,2013,106,95,2,6.36,7,2,"2012-09-23","2013JP3749RL",0,"KAZ"
3748,"Almaty","Men",140,0,2013,140,125,1.8,7.56,9.36,2,"2012-09-22","2013JP3748RTRIA",1,"KAZ"
3748,"Almaty","Men",140,0,2013,140,125,1.8,7.56,9.36,2,"2012-09-22","2013JP3748RL",0,"KAZ"
3747,"Almaty","Women",106,0,2013,106,95,2,6.36,7,2,"2012-09-22","2013JP3747RTRIA",1,"KAZ"
3747,"Almaty","Women",106,0,2013,106,95,2,6.36,7,2,"2012-09-22","2013JP3747RLT",1,"KAZ"
3747,"Almaty","Women",106,0,2013,106,95,2,6.36,7,2,"2012-09-22","2013JP3747RL",0,"KAZ"
3733,"Hakuba","Men",131,0,2013,131,120,1.8,8.82,10.44,2,"2012-08-24","2013JP3733RLT",1,"JPN"
3733,"Hakuba","Men",131,0,2013,131,120,1.8,8.82,10.44,2,"2012-08-24","2013JP3733RLQ",0,"JPN"
3732,"Hakuba","Men",131,0,2013,131,120,1.8,8.82,10.44,2,"2012-08-26","2013JP3732RTRIA",1,"JPN"
3732,"Hakuba","Men",131,0,2013,131,120,1.8,8.82,10.44,2,"2012-08-26","2013JP3732RL",0,"JPN"
3731,"Hakuba","Men",131,0,2013,131,120,1.8,8.82,10.44,2,"2012-08-25","2013JP3731RTRIA",1,"JPN"
3731,"Hakuba","Men",131,0,2013,131,120,1.8,8.82,10.44,2,"2012-08-25","2013JP3731RL",0,"JPN"
3730,"Hinterzarten","Men",108,0,2013,108,95,2,6.48,7.2,2,"2012-08-17","2013JP3730RLT",1,"GER"
3730,"Hinterzarten","Men",108,0,2013,108,95,2,6.48,7.2,2,"2012-08-17","2013JP3730RLQ",0,"GER"
3729,"Hinterzarten","Men",108,0,2013,108,95,2,6.48,7.2,2,"2012-08-19","2013JP3729RTRIA",1,"GER"
3729,"Hinterzarten","Men",108,0,2013,108,95,2,6.48,7.2,2,"2012-08-19","2013JP3729RL",0,"GER"
3727,"Hinterzarten","Mix",108,1,2013,108,95,2,6.48,7.2,2,"2012-08-18","2013JP3727RTRIA",1,"GER"
3727,"Hinterzarten","Mix",108,1,2013,108,95,2,6.48,7.2,2,"2012-08-18","2013JP3727RL",0,"GER"
3726,"Hinterzarten","Women",108,0,2013,108,95,2,6.48,7.2,2,"2012-08-17","2013JP3726RTRIA",1,"GER"
3726,"Hinterzarten","Women",108,0,2013,108,95,2,6.48,7.2,2,"2012-08-17","2013JP3726RLT",1,"GER"
3726,"Hinterzarten","Women",108,0,2013,108,95,2,6.48,7.2,2,"2012-08-17","2013JP3726RL",0,"GER"
3724,"Courchevel","Men",132,0,2013,132,120,1.8,8.82,10.44,2,"2012-08-15","2013JP3724RTRIA",1,"FRA"
3724,"Courchevel","Men",132,0,2013,132,120,1.8,8.82,10.44,2,"2012-08-15","2013JP3724RLT",1,"FRA"
3724,"Courchevel","Men",132,0,2013,132,120,1.8,8.82,10.44,2,"2012-08-15","2013JP3724RLQ",0,"FRA"
3724,"Courchevel","Men",132,0,2013,132,120,1.8,8.82,12.6,2,"2012-08-15","2013JP3724RL",0,"FRA"
3723,"Courchevel","Women",96,0,2013,96,90,2,5.76,6,2,"2012-08-15","2013JP3723RTRIA",1,"FRA"
3723,"Courchevel","Women",96,0,2013,96,90,2,5.76,6,2,"2012-08-15","2013JP3723RLT",1,"FRA"
3723,"Courchevel","Women",96,0,2013,96,90,2,5.76,6,2,"2012-08-15","2013JP3723RL",0,"FRA"
3722,"Courchevel","Mix",96,1,2013,96,90,2,5.76,6,2,"2012-08-14","2013JP3722RTRIA",1,"FRA"
3722,"Courchevel","Mix",96,1,2013,96,90,2,5.76,6,2,"2012-08-14","2013JP3722RLT",1,"FRA"
3722,"Courchevel","Mix",96,1,2013,96,90,2,5.76,6,2,"2012-08-14","2013JP3722RL",0,"FRA"
3713,"Wisla","Men",134,0,2013,134,120,1.8,7.24,8.82,2,"2012-07-21","2013JP3713RTRIA",1,"POL"
3713,"Wisla","Men",134,0,2013,134,120,1.8,7.24,8.82,2,"2012-07-21","2013JP3713RL",0,"POL"
3712,"Wisla","Men",134,1,2013,134,120,1.8,7.24,8.82,2,"2012-07-20","2013JP3712RTRIA",1,"POL"
3712,"Wisla","Men",134,1,2013,134,120,1.8,7.24,8.82,2,"2012-07-20","2013JP3712RL",0,"POL"
3711,"Wisla","Men",134,0,2013,134,120,1.8,7.24,8.82,2,"2012-07-19","2013JP3711RLT",1,"POL"
3711,"Wisla","Men",134,0,2013,134,120,1.8,7.24,8.82,2,"2012-07-19","2013JP3711RLQ",0,"POL"
3061,"Klingenthal","Men",140,0,2012,140,125,1.8,7.56,10.8,2,"2011-10-02","2012JP3061RLT",1,"GER"
3061,"Klingenthal","Men",140,0,2012,140,125,1.8,7.56,10.8,2,"2011-10-02","2012JP3061RLQ",0,"GER"
3060,"Klingenthal","Men",140,0,2012,140,125,1.8,7.56,10.8,2,"2011-10-03","2012JP3060RTRIA",1,"GER"
3060,"Klingenthal","Men",140,0,2012,140,125,1.8,7.56,10.8,2,"2011-10-03","2012JP3060RL",0,"GER"
3057,"Hinzenbach","Men",94,0,2012,94,85,2,5.64,5.8,2,"2011-09-30","2012JP3057RLT",1,"AUT"
3057,"Hinzenbach","Men",94,0,2012,94,85,2,5.64,5.8,2,"2011-09-30","2012JP3057RLQ",0,"AUT"
3056,"Hinzenbach","Men",94,0,2012,94,85,2,5.64,5.8,2,"2011-10-01","2012JP3056RTRIA",1,"AUT"
3056,"Hinzenbach","Men",94,0,2012,94,85,2,5.64,5.8,2,"2011-10-01","2012JP3056RL",0,"AUT"
3045,"Almaty","Men",140,0,2012,140,125,1.8,7.56,9.36,2,"2011-08-30","2012JP3045RTRIA",1,"KAZ"
3045,"Almaty","Men",140,0,2012,140,125,1.8,7.56,9.36,2,"2011-08-30","2012JP3045RLT",1,"KAZ"
3045,"Almaty","Men",140,0,2012,140,125,1.8,7.56,9.36,2,"2011-08-30","2012JP3045RL",0,"KAZ"
3042,"Hakuba","Men",131,0,2012,131,120,1.8,8.82,10.44,2,"2011-08-27","2012JP3042RTRIA",1,"JPN"
3042,"Hakuba","Men",131,0,2012,131,120,1.8,8.82,10.44,2,"2011-08-27","2012JP3042RL",0,"JPN"
3041,"Hakuba","Men",131,0,2012,131,120,1.8,8.82,10.44,2,"2011-08-26","2012JP3041RTRIA",1,"JPN"
3041,"Hakuba","Men",131,0,2012,131,120,1.8,8.82,10.44,2,"2011-08-26","2012JP3041RL",0,"JPN"
3035,"Einsiedeln","Men",117,0,2012,117,105,1.8,6.32,7.29,2,"2011-08-13","2012JP3035RLT",1,"SUI"
3035,"Einsiedeln","Men",117,0,2012,117,105,1.8,6.32,7.29,2,"2011-08-13","2012JP3035RLQ",0,"SUI"
3034,"Einsiedeln","Men",117,0,2012,117,105,1.8,6.32,7.29,2,"2011-08-14","2012JP3034RL",0,"SUI"
3031,"Courchevel","Men",132,0,2012,132,120,1.8,8.82,10.44,2,"2011-08-12","2012JP3031RTRIA",1,"FRA"
3031,"Courchevel","Men",132,0,2012,132,120,1.8,8.82,10.44,2,"2011-08-12","2012JP3031RL",0,"FRA"
3030,"Courchevel","Men",132,0,2012,132,120,1.8,8.82,10.44,2,"2011-08-11","2012JP3030RLT",1,"FRA"
3030,"Courchevel","Men",132,0,2012,132,120,1.8,8.82,10.44,2,"2011-08-11","2012JP3030RLQ",0,"FRA"
3026,"Hinterzarten","Men",108,0,2012,108,95,2,6.48,7.2,2,"2011-08-05","2012JP3026RLT",1,"GER"
3026,"Hinterzarten","Men",108,0,2012,108,95,2,6.48,7.2,2,"2011-08-05","2012JP3026RLQ",0,"GER"
3025,"Hinterzarten","Men",108,0,2012,108,95,2,6.48,7.2,2,"2011-08-07","2012JP3025RTRIA",1,"GER"
3025,"Hinterzarten","Men",108,0,2012,108,95,2,6.48,7.2,2,"2011-08-07","2012JP3025RL",0,"GER"
3024,"Hinterzarten","Men",108,1,2012,108,95,2,6.48,7.2,2,"2011-08-06","2012JP3024RTRIA",1,"GER"
3024,"Hinterzarten","Men",108,1,2012,108,95,2,6.48,7.2,2,"2011-08-06","2012JP3024RL",0,"GER"
3015,"Zakopane","Men",134,0,2012,134,120,1.8,7.24,8.82,2,"2011-07-21","2012JP3015RLT",1,"POL"
3015,"Zakopane","Men",134,0,2012,134,120,1.8,7.24,8.82,2,"2011-07-21","2012JP3015RLQ",0,"POL"
3014,"Zakopane","Women",NA,0,2012,94,NA,NA,NA,NA,2,"2011-07-22","2012JP3014RTRIA",1,"POL"
3014,"Zakopane","Women",NA,0,2012,94,NA,NA,NA,NA,2,"2011-07-22","2012JP3014RLT",1,"POL"
3014,"Zakopane","Women",NA,0,2012,94,NA,NA,NA,NA,2,"2011-07-22","2012JP3014RL",0,"POL"
3013,"Zakopane","Men",134,0,2012,134,120,1.8,7.24,8.82,2,"2011-07-23","2012JP3013RTRIA",1,"POL"
3013,"Zakopane","Men",134,0,2012,134,120,1.8,7.24,8.82,2,"2011-07-23","2012JP3013RL",0,"POL"
3012,"Zakopane","Men",134,1,2012,134,120,1.8,7.24,8.82,2,"2011-07-22","2012JP3012RL",0,"POL"
3011,"Szczyrk","Women",106,0,2012,106,95,2,6.36,7,2,"2011-07-19","2012JP3011RTRIA",1,"POL"
3011,"Szczyrk","Women",106,0,2012,106,95,2,6.36,7,2,"2011-07-19","2012JP3011RLT",1,"POL"
3011,"Szczyrk","Women",106,0,2012,106,95,2,6.36,7,2,"2011-07-19","2012JP3011RL",0,"POL"
3010,"Szczyrk","Men",106,0,2012,106,95,2,6.36,7,2,"2011-07-19","2012JP3010RLT",1,"POL"
3010,"Szczyrk","Men",106,0,2012,106,95,2,6.36,7,2,"2011-07-19","2012JP3010RLQ",0,"POL"
3009,"Szczyrk","Men",106,0,2012,106,95,2,6.36,7,2,"2011-07-20","2012JP3009RTRIA",1,"POL"
3009,"Szczyrk","Men",106,0,2012,106,95,2,6.36,7,2,"2011-07-20","2012JP3009RL",0,"POL"
3006,"Wisla","Men",134,0,2012,134,120,1.8,7.24,8.82,2,"2011-07-16","2012JP3006RLT",1,"POL"
3006,"Wisla","Men",134,0,2012,134,120,1.8,7.24,8.82,2,"2011-07-16","2012JP3006RLQ",0,"POL"
3005,"Wisla","Men",134,0,2012,134,120,1.8,7.24,8.82,2,"2011-07-17","2012JP3005RTRIA",1,"POL"
3005,"Wisla","Men",134,0,2012,134,120,1.8,7.24,8.82,2,"2011-07-17","2012JP3005RL",0,"POL"
3175,"Liberec","Men",134,0,2011,140,120,1.8,5.22,8.82,2,"2010-09-30","2011JP3175RLT",1,"CZE"
3175,"Liberec","Men",134,0,2011,140,120,1.8,5.22,8.82,2,"2010-09-30","2011JP3175RLQ",0,"CZE"
3166,"Wisla","Men",134,0,2011,134,120,1.8,7.24,8.82,2,"2010-08-19","2011JP3166RLT",1,"POL"
3166,"Wisla","Men",134,0,2011,134,120,1.8,7.24,8.82,2,"2010-08-19","2011JP3166RLQ",0,"POL"
3151,"Hakuba","Men",131,0,2011,131,120,1.8,8.82,10.44,2,"2010-08-27","2011JP3151RLT",1,"JPN"
3151,"Hakuba","Men",131,0,2011,131,120,1.8,8.82,10.44,2,"2010-08-27","2011JP3151RLQ",0,"JPN"
3150,"Einsiedeln","Men",117,0,2011,117,105,1.8,6.32,7.29,2,"2010-08-15","2011JP3150RLT",1,"SUI"
3150,"Einsiedeln","Men",117,0,2011,117,105,1.8,6.32,7.29,2,"2010-08-15","2011JP3150RLQ",0,"SUI"
3149,"Klingenthal","Men",140,0,2011,140,125,1.8,7.56,9.36,2,"2010-10-02","2011JP3149RLT",1,"GER"
3149,"Klingenthal","Men",140,0,2011,140,125,1.8,7.56,9.36,2,"2010-10-02","2011JP3149RLQ",0,"GER"
3148,"Hinterzarten","Men",108,0,2011,108,95,2,6.48,7.2,2,"2010-08-06","2011JP3148RLT",1,"GER"
3148,"Hinterzarten","Men",108,0,2011,108,95,2,6.48,7.2,2,"2010-08-06","2011JP3148RLQ",0,"GER"
3147,"Courchevel","Men",132,0,2011,132,120,1.8,8.82,10.44,2,"2010-08-12","2011JP3147RLT",1,"FRA"
3147,"Courchevel","Men",132,0,2011,132,120,1.8,8.82,10.44,2,"2010-08-12","2011JP3147RLQ",0,"FRA"
3126,"Einsiedeln","Men",117,0,2011,117,105,1.8,6.32,7.29,2,"2010-08-15","2011JP3126RL",0,"SUI"
3093,"Wisla","Men",134,0,2011,134,120,1.8,7.24,8.82,2,"2010-08-21","2011JP3093RLQ",0,"POL"
3093,"Wisla","Men",134,0,2011,134,120,1.8,7.24,8.82,2,"2010-08-21","2011JP3093RL",0,"POL"
3092,"Wisla","Men",134,0,2011,134,120,1.8,7.24,8.82,2,"2010-08-20","2011JP3092RTRIA",1,"POL"
3092,"Wisla","Men",134,0,2011,134,120,1.8,7.24,8.82,2,"2010-08-20","2011JP3092RL",0,"POL"
3067,"Hakuba","Men",131,0,2011,131,120,1.8,8.82,10.44,2,"2010-08-29","2011JP3067RLQ",0,"JPN"
3067,"Hakuba","Men",131,0,2011,131,120,1.8,8.82,10.44,2,"2010-08-29","2011JP3067RL",0,"JPN"
3066,"Hakuba","Men",131,0,2011,131,120,1.8,8.82,10.44,2,"2010-08-28","2011JP3066RL",0,"JPN"
3039,"Klingenthal","Men",140,0,2011,140,125,1.8,7.56,9.36,2,"2010-10-03","2011JP3039RTRIA",1,"GER"
3039,"Klingenthal","Men",140,0,2011,140,125,1.8,7.56,9.36,2,"2010-10-03","2011JP3039RL",0,"GER"
3032,"Hinterzarten","Men",108,0,2011,108,95,2,6.48,7.2,2,"2010-08-08","2011JP3032RTRIA",1,"GER"
3032,"Hinterzarten","Men",108,0,2011,108,95,2,6.48,7.2,2,"2010-08-08","2011JP3032RL",0,"GER"
3030,"Hinterzarten","Men",108,1,2011,108,95,2,6.48,7.2,2,"2010-08-07","2011JP3030RTRIA",1,"GER"
3030,"Hinterzarten","Men",108,1,2011,108,95,2,6.48,7.2,2,"2010-08-07","2011JP3030RL",0,"GER"
3027,"Courchevel","Men",132,0,2011,132,120,1.8,8.82,10.44,2,"2010-08-13","2011JP3027RTRIA",1,"FRA"
3027,"Courchevel","Men",132,0,2011,132,120,1.8,8.82,10.44,2,"2010-08-13","2011JP3027RL",0,"FRA"
3006,"Liberec","Men",134,0,2011,140,120,1.8,5.94,9.18,2,"2010-10-01","2011JP3006RTRIA",1,"CZE"
